CF;MES;CDA
449;2;Ventanilla
629;2;Ventanilla
667;2;Ventanilla
742;2;Ventanilla
580;2;Ventanilla
644;2;Ventanilla
584;2;Ventanilla
592;2;Ventanilla
622;2;Ventanilla
618;2;Ventanilla
629;2;Ventanilla
586;2;Ventanilla
559;2;Ventanilla
671;2;Ventanilla
525;2;Ventanilla
389;2;Ventanilla
732;2;Ventanilla
505;2;Ventanilla
656;2;Ventanilla
604;2;Ventanilla
621;2;Ventanilla
582;2;Ventanilla
416;2;Ventanilla
602;2;Ventanilla
651;2;Ventanilla
591;2;Ventanilla
549;2;Ventanilla
676;2;Ventanilla
755;2;Ventanilla
578;2;Ventanilla
680;2;Ventanilla
678;2;Ventanilla
493;2;Ventanilla
579;2;Ventanilla
510;2;Ventanilla
742;2;Ventanilla
500;2;Ventanilla
631;2;Ventanilla
583;2;Ventanilla
547;2;Ventanilla
610;2;Ventanilla
704;2;Ventanilla
590;2;Ventanilla
942;2;Ventanilla
637;2;Ventanilla
544;2;Ventanilla
448;2;Ventanilla
583;2;Ventanilla
377;2;Ventanilla
509;2;Ventanilla
604;2;Ventanilla
336;2;Ventanilla
550;2;Ventanilla
758;2;Ventanilla
544;2;Ventanilla
642;2;Ventanilla
653;2;Ventanilla
635;2;Ventanilla
632;2;Ventanilla
604;2;Ventanilla
589;2;Ventanilla
462;2;Ventanilla
548;2;Ventanilla
555;2;Ventanilla
638;2;Ventanilla
650;2;Ventanilla
579;2;Ventanilla
607;2;Ventanilla
728;2;Ventanilla
519;2;Ventanilla
430;2;Ventanilla
790;2;Ventanilla
599;2;Ventanilla
601;2;Ventanilla
